GEO,food_group,count,mean,sd,median
Alberta,Beef,854,77.81038742505855,75.14114662757243,58.8491635
Alberta,Milk,3502,133.46240067961165,213.79803830142288,30.505262
British Columbia,Beef,826,78.23172830266344,79.46555968870979,56.781204
British Columbia,Milk,3973,118.6659667800151,199.84717213839383,29.661348
Manitoba,Beef,478,73.94956879707112,80.95855641387311,54.9585305
Manitoba,Milk,2217,142.22890158773117,228.75281744513663,29.5053
New Brunswick,Beef,483,75.62077175362319,73.87441970820753,59.263622
New Brunswick,Milk,1999,139.8646094372186,219.70546091199975,34.732998
Newfoundland Labrador,Beef,437,75.61412941189931,69.55052347480347,61.501571
Newfoundland Labrador,Milk,1847,138.74526131727126,212.9986534142165,32.59119
Nova Scotia,Beef,545,74.41400944954128,68.02588861047226,61.526631
Nova Scotia,Milk,2438,126.79351628506973,204.9717314002599,28.612955499999998
Ontario,Beef,1382,79.71625406150507,75.88247179594498,64.05726150000001
Ontario,Milk,6546,128.10884621524596,218.1955487194087,28.576344
Prince Edward Island,Beef,461,66.67263861605205,63.059738737604555,51.321955
Prince Edward Island,Milk,2052,138.63597756384016,206.81230607852333,32.847232000000005
Quebec,Beef,1383,68.26673655169921,72.54890827462052,48.312484
Quebec,Milk,4952,135.1634947065832,213.99089156416122,34.768772999999996
Saskatchewan,Beef,584,78.89096509075343,78.3634290884014,61.265688499999996
Saskatchewan,Milk,2216,151.60791128971118,237.96601407237324,28.059939999999997
