GEO,Food group,VNF kgN/kg,N footprint sector,VNF kgN/kg weighted
Alberta,Beef,0.3484099649709963,VN from meat,NA
Alberta,Chicken,0.07718067697861504,VN from meat,NA
Alberta,Eggs,0.040486017319741115,VN from meat,NA
Alberta,Milk,0.008875249647045048,VN from meat,NA
Alberta,Pork,0.0846276066662128,VN from meat,NA
British Columbia,Beef,0.46034234792017636,VN from meat,NA
British Columbia,Chicken,0.07745589004593266,VN from meat,NA
British Columbia,Eggs,0.04517878468536681,VN from meat,NA
British Columbia,Milk,0.009677188551325487,VN from meat,NA
British Columbia,Pork,0.09239053267166865,VN from meat,NA
Manitoba,Beef,0.39246289818317476,VN from meat,NA
Manitoba,Chicken,0.07714243151344623,VN from meat,NA
Manitoba,Eggs,0.035024438519700156,VN from meat,NA
Manitoba,Milk,0.007321498437610119,VN from meat,NA
Manitoba,Pork,0.08587744604060324,VN from meat,NA
New Brunswick,Chicken,0.10022350425796638,VN from meat,NA
New Brunswick,Eggs,0.07858832009575854,VN from meat,NA
New Brunswick,Pork,0.23816838179849634,VN from meat,NA
NFLD,Chicken,0.1042154321937815,VN from meat,NA
NFLD,Eggs,0.05793600511882697,VN from meat,NA
Nova Scotia,Chicken,0.10054037037153772,VN from meat,NA
Nova Scotia,Eggs,0.05157962871569388,VN from meat,NA
Ontario,Beef,0.2889737028349897,VN from meat,NA
Ontario,Chicken,0.09787491789575656,VN from meat,NA
Ontario,Eggs,0.05367320293482111,VN from meat,NA
Ontario,Milk,0.009763549960168788,VN from meat,NA
Ontario,Pork,0.12077304235070355,VN from meat,NA
PEI,Chicken,0.10007117235990654,VN from meat,NA
PEI,Eggs,0.051168753626906906,VN from meat,NA
PEI,Pork,0.12887269128192,VN from meat,NA
Quebec,Beef,0.38388409935057777,VN from meat,NA
Quebec,Chicken,0.09890877139655804,VN from meat,NA
Quebec,Eggs,0.06185319669282064,VN from meat,NA
Quebec,Milk,0.009472498825425982,VN from meat,NA
Quebec,Pork,0.12032871501738825,VN from meat,NA
Saskatchewan,Beef,0.5594696156666176,VN from meat,NA
Saskatchewan,Chicken,0.07720398241978861,VN from meat,NA
Saskatchewan,Eggs,0.03746320461031148,VN from meat,NA
Saskatchewan,Milk,0.007837119174211116,VN from meat,NA
Saskatchewan,Pork,0.08687697252792977,VN from meat,NA
Canada,Beef,0.4011055461795216,VN from meat,0.4011055461795216
Canada,Chicken,0.09137964168112749,VN from meat,0.09137964168112749
Canada,Eggs,0.05118590180501459,VN from meat,0.05118590180501459
Canada,Milk,0.009396208327309809,VN from meat,0.009396208327309809
Canada,Pork,0.10631054230997138,VN from meat,0.10631054230997138
Alberta,Grains,0.015744828035038214,VN from crops,NA
Alberta,Legumes,0.0347875927063522,VN from crops,NA
Alberta,Oilseeds,0.07401696964059487,VN from crops,NA
Alberta,Roots,0.004047534368379398,VN from crops,NA
Alberta,Vegetables,0.02791211522517178,VN from crops,NA
British Columbia,Fruits,0.016660942558417234,VN from crops,NA
British Columbia,Grains,0.01320611292130126,VN from crops,NA
British Columbia,Legumes,0.03134741142084589,VN from crops,NA
British Columbia,Oilseeds,0.07555332233234721,VN from crops,NA
British Columbia,Roots,0.0048261661625027055,VN from crops,NA
British Columbia,Vegetables,0.018184918708064563,VN from crops,NA
Manitoba,Grains,0.02450352277992287,VN from crops,NA
Manitoba,Legumes,0.036190838549193534,VN from crops,NA
Manitoba,Oilseeds,0.09120300682646602,VN from crops,NA
Manitoba,Roots,0.006592680376415836,VN from crops,NA
Manitoba,Vegetables,0.05142759000848017,VN from crops,NA
New Brunswick,Fruits,0.04635392858703326,VN from crops,NA
New Brunswick,Grains,0.03134081213562008,VN from crops,NA
New Brunswick,Legumes,0.040870177052371795,VN from crops,NA
New Brunswick,Oilseeds,0.1338554948792394,VN from crops,NA
New Brunswick,Roots,0.009253098698112082,VN from crops,NA
New Brunswick,Vegetables,0.08969231108128506,VN from crops,NA
NFLD,Roots,0.016449471840564233,VN from crops,NA
Nova Scotia,Fruits,0.04189011759197153,VN from crops,NA
Nova Scotia,Grains,0.024227067305774966,VN from crops,NA
Nova Scotia,Legumes,0.04023798416175947,VN from crops,NA
Nova Scotia,Roots,0.009394786387035723,VN from crops,NA
Nova Scotia,Vegetables,0.04267156780628243,VN from crops,NA
Ontario,Fruits,0.012378734141178165,VN from crops,NA
Ontario,Grains,0.008620327660803626,VN from crops,NA
Ontario,Legumes,0.03831719692458889,VN from crops,NA
Ontario,Oilseeds,0.06268488833433625,VN from crops,NA
Ontario,Roots,0.006615702741215193,VN from crops,NA
Ontario,Vegetables,0.010721372093644592,VN from crops,NA
PEI,Fruits,0.062163352232665385,VN from crops,NA
PEI,Grains,0.030172871025893822,VN from crops,NA
PEI,Legumes,0.03981675340198102,VN from crops,NA
PEI,Oilseeds,0.1322785185444082,VN from crops,NA
PEI,Roots,0.009642913216221927,VN from crops,NA
Quebec,Fruits,0.026262666038506435,VN from crops,NA
Quebec,Grains,0.02197498879602502,VN from crops,NA
Quebec,Legumes,0.0394144332987662,VN from crops,NA
Quebec,Oilseeds,0.08807672288210779,VN from crops,NA
Quebec,Roots,0.008271959119031034,VN from crops,NA
Quebec,Vegetables,0.020030972270029323,VN from crops,NA
Saskatchewan,Grains,0.015332070654855217,VN from crops,NA
Saskatchewan,Legumes,0.03060607075132331,VN from crops,NA
Saskatchewan,Oilseeds,0.09149096926296223,VN from crops,NA
Saskatchewan,Roots,0.007569561892294213,VN from crops,NA
Canada,Fruits,0.021457571599114857,VN from crops,0.021457571599114857
Canada,Grains,0.015826472085908243,VN from crops,0.015826472085908243
Canada,Legumes,0.03501985843219434,VN from crops,0.03501985843219434
Canada,Oilseeds,0.08608663499620006,VN from crops,0.08608663499620006
Canada,Roots,0.007355275860289524,VN from crops,0.007355275860289524
Canada,Vegetables,0.014235068302059185,VN from crops,0.014235068302059185
